id;key;locale;robots;title;description;image;created_at;updated_at
1;start.index;de_CH;index,follow;Innovative Ideen zum Leben erwecken;Wir hören zu, denken konzeptionell und entwickeln nutzerzentrierte Software mit offenen Technologien und Standards.;;2026-06-01 19:12:39;2026-06-01 19:12:39
2;news.index;de_CH;index,follow;Neuigkeiten & Insights;Aktuelle News, Fachbeiträge und Trends rund um Softwareentwicklung, offene Technologien und digitale Innovation von codebar.;;2026-06-01 19:12:39;2026-06-01 19:12:39
3;about-us.index;de_CH;index,follow;Über uns – codebar solutions AG;Lerne codebar solutions AG kennen – dein Schweizer Partner für konzeptionelle Softwareentwicklung mit offenen Technologien.;;2026-06-01 19:12:39;2026-06-01 19:12:39
4;services.index;de_CH;index,follow;Expertise;Wir hören zu, erarbeiten Konzepte für künftige Nutzer:innen und setzen sie um – von der Idee bis zur Software.;;2026-06-01 19:12:39;2026-06-01 19:12:39
5;products.index;de_CH;index,follow;Nutzerzentrierte Softwarelösungen;Nutzerzentrierte Softwarelösungen mit echtem Mehrwert – entwickelt mit offenen Technologien und Standards.;;2026-06-01 19:12:39;2026-06-01 19:12:39
6;legal.imprint.index;de_CH;index,follow;Rechtliches;Alle rechtlichen Informationen zur codebar solutions AG.;;2026-06-01 19:12:39;2026-06-01 19:12:39
7;contact.index;de_CH;index,follow;Lass uns sprechen;Hast du eine innovative Idee? Wir hören zu, verstehen deine Bedürfnisse und erwecken deine Vision zum Leben.;;2026-06-01 19:12:39;2026-06-01 19:12:39
8;start.index;en_CH;index,follow;Bringing Innovative Ideas to Life;We listen, think conceptually, and develop software around user needs using open technologies. Your ideas, our expertise.;;2026-06-01 19:12:39;2026-06-01 19:12:39
9;news.index;en_CH;index,follow;News & Insights;Latest news and expert insights on software development, open technologies and digital innovation from codebar.;;2026-06-01 19:12:39;2026-06-01 19:12:39
10;about-us.index;en_CH;index,follow;About Us – codebar solutions AG;Meet codebar solutions AG – your Swiss partner for conceptual software development with open technologies.;;2026-06-01 19:12:39;2026-06-01 19:12:39
11;services.index;en_CH;index,follow;Expertise;We start by listening, then work with you to develop concepts based on future user needs. From concept to implementation.;;2026-06-01 19:12:39;2026-06-01 19:12:39
12;products.index;en_CH;index,follow;User-Centric Software Solutions;Our software solutions are built around the needs of users, delivering real value through open technologies and standards.;;2026-06-01 19:12:39;2026-06-01 19:12:39
13;legal.imprint.index;en_CH;index,follow;Legal Notice;All legal details about codebar solutions AG.;;2026-06-01 19:12:39;2026-06-01 19:12:39
14;contact.index;en_CH;index,follow;"Let's Talk";Have an innovative idea? We start by listening to understand your needs, then work with you to bring your vision to life.;;2026-06-01 19:12:39;2026-06-01 19:12:39
