id;category;order;name;provider;ram;license;role;link_label;link_url;archived_at;replaced_by_id;created_at;updated_at
1;reasoning_coding;1;deepseek-v4:flash;DeepSeek AI (CN);~102 GB RAM;MIT;"{""de"":""Flaggschiff: Analysen, Buchungslogik, komplexes Coding"",""en"":""Flagship: analysis, booking logic, complex coding""}";Hugging Face;https://huggingface.co/unsloth;;;2026-07-21 15:00:31;2026-07-21 15:00:31
2;reasoning_coding;2;kimi-linear:48b;Moonshot AI (CN);30 GB RAM;MIT;"{""de"":""Alltags-Sprinter, lange Dokumente & Kontextverst\u00e4ndnis"",""en"":""Everyday sprinter, long documents & context understanding""}";Hugging Face;https://huggingface.co/moonshotai;;;2026-07-21 15:00:31;2026-07-21 15:00:31
3;reasoning_coding;3;qwen3-coder:30b;Alibaba / Qwen (CN);18 GB RAM;Apache-2.0;"{""de"":""Coding-Spezialist f\u00fcr schnelle Iterationen & Agenten-Tasks"",""en"":""Coding specialist for fast iterations & agent tasks""}";Ollama;https://ollama.com/library/qwen3-coder;;;2026-07-21 15:00:31;2026-07-21 15:00:31
4;reasoning_coding;4;qwen3.6:35b;Alibaba / Qwen (CN);23 GB RAM;Apache-2.0;"{""de"":""Reserve-Mittelklasse"",""en"":""Mid-range reserve""}";Ollama;https://ollama.com/library/qwen3.6;;;2026-07-21 15:00:31;2026-07-21 15:00:31
5;vision_documents;1;qwen3-vl:32b;Alibaba / Qwen (CN);20 GB RAM;Apache-2.0;"{""de"":""Detailliertes Bildverst\u00e4ndnis: Screenshots, Diagramme, Belege"",""en"":""Detailed image understanding: screenshots, diagrams, receipts""}";Ollama;https://ollama.com/library/qwen3-vl;;;2026-07-21 15:00:31;2026-07-21 15:00:31
6;vision_documents;2;qwen3-vl:8b;Alibaba / Qwen (CN);6,1 GB RAM;Apache-2.0;"{""de"":""Schnelle Vision-Variante f\u00fcr einfache Bildaufgaben"",""en"":""Fast vision variant for simple image tasks""}";Ollama;https://ollama.com/library/qwen3-vl;;;2026-07-21 15:00:31;2026-07-21 15:00:31
7;vision_documents;3;gemma4:31b;Google;19 GB RAM;Gemma;"{""de"":""Bild-Input + stilsichere Texte"",""en"":""Image input + polished writing""}";Ollama;https://ollama.com/library/gemma4;;;2026-07-21 15:00:31;2026-07-21 15:00:31
8;vision_documents;4;deepseek-ocr;DeepSeek AI (CN);6,7 GB RAM;MIT;"{""de"":""PDF\/Scan \u2192 Markdown"",""en"":""PDF\/scan \u2192 Markdown""}";Ollama;https://ollama.com/library/deepseek-ocr;;;2026-07-21 15:00:31;2026-07-21 15:00:31
9;retrieval_search;1;qwen3-embedding:8b;Alibaba / Qwen (CN);4,7 GB RAM;Apache-2.0;"{""de"":""Vektoren f\u00fcr \u00c4hnlichkeitssuche"",""en"":""Vectors for similarity search""}";Ollama;https://ollama.com/library/qwen3-embedding;;;2026-07-21 15:00:31;2026-07-21 15:00:31
10;reasoning_coding;1;qwen3.5:122b;;;;;;;2026-07-01;1;2026-07-21 15:00:31;2026-07-21 15:00:31
11;reasoning_coding;2;qwen3.6:35b-a3b;;;;;;;2026-07-01;2;2026-07-21 15:00:31;2026-07-21 15:00:31
12;reasoning_coding;3;qwen3.6:27b;;;;;;;2026-07-01;4;2026-07-21 15:00:31;2026-07-21 15:00:31
13;reasoning_coding;4;qwen3.5:9b;;;;;;;2026-07-01;2;2026-07-21 15:00:32;2026-07-21 15:00:32
14;reasoning_coding;5;qwen3.5:4b;;;;;;;2026-07-01;2;2026-07-21 15:00:32;2026-07-21 15:00:32
15;vision_documents;1;gemma4:12b;;;;;;;2026-07-01;6;2026-07-21 15:00:32;2026-07-21 15:00:32
16;vision_documents;2;gemma4:e4b;;;;;;;2026-07-01;6;2026-07-21 15:00:32;2026-07-21 15:00:32
17;retrieval_search;1;qwen3-embedding:4b;;;;;;;2026-07-01;9;2026-07-21 15:00:32;2026-07-21 15:00:32
18;retrieval_search;2;qwen3-reranker:8b;;;;;;;2026-07-01;;2026-07-21 15:00:32;2026-07-21 15:00:32
